Tourist_ID,Full_Name,Age,Gender,Nationality,Travel_Purpose,Destination_City,Travel_Start_Date,Travel_End_Date,Transport_Mode,Travel_Agency,Accommodation_Type,Hotel_Name,Nights_Stayed,Total_Trip_Cost_USD,Payment_Mode,Feedback_Score,Phone_Number,Preferred_Language,Special_Requirements,Age_Group
35bf992d-c9e9-4616-a12e-7696a6cecc1b,Abigail Baxter,73,Male,American,Business,San Francisco,2/6/2024,1/7/2025,Car,MakeMyTrip,Motel,Carrillo-Benson,6,5637.36,Credit Card,1,895-935-2815,French,Diet Food,61-80
e4b06ce6-0741-47a8-bce4-2c8218072e8c,Linda Ramos,62,Female,American,Leisure,San Francisco,10/22/2023,4/2/2025,Bus,Booking.com,Hotel,"Leach, Lewis and Oconnell",12,6878.01,Credit Card,4,994.877.1545,German,Diet Food,61-80
9b810e76-6ec9-4286-a3ca-828dd5f4b3b2,Dillon Diaz,61,Female,American,Leisure,San Francisco,7/8/2023,4/7/2025,Flight,TripAdvisor,Motel,Hernandez PLC,14,4140.57,Debit Card,4,001-177-396-7398x3127,English,None,61-80
b2221a58-008a-45a6-8464-7159c324c985,Brandon Collins,21,Male,American,Medical,Los Angeles,5/28/2024,8/31/2024,Train,MakeMyTrip,Hostel,Carson-Fitzgerald,2,9662.1,Credit Card,3,394-898-2167,Spanish,Diet Food,21-40
cd447e35-b8b6-48fe-842e-3d437204e52d,Melissa White,84,Female,American,Leisure,Las Vegas,10/27/2023,11/25/2024,Train,MakeMyTrip,Hostel,Blanchard-Martin,6,7864.57,Debit Card,4,001-603-049-5147x72529,French,Assistance Required,>80
05b6e6e3-07d4-4edc-9143-1193e6c3f339,Rebecca Webb,27,Male,American,Business,Orlando,8/7/2023,4/17/2025,Train,Expedia,Airbnb,Oliver-Love,10,4995.05,Cash,4,(754)759-6187x46203,English,Diet Food,21-40
b9d179e0-6c0f-44f5-b813-0c4237730edf,Kathryn Martinez,79,Female,American,Leisure,Los Angeles,11/15/2023,9/25/2024,Bus,MakeMyTrip,Resort,Johnson PLC,9,9038.64,Credit Card,5,130-334-4963,German,Diet Food,61-80
c381e88f-38c0-48fd-8712-b8bc076f3787,Michael White,46,Female,American,Education,Chicago,2/28/2024,7/16/2024,Bus,Expedia,Hotel,Pollard-Mooney,4,9857.24,Debit Card,5,6278107500,English,Diet Food,41-60
8d88348a-7eed-4d14-b06d-3fef701966a0,Kristy Young,40,Female,American,Education,Los Angeles,2/6/2024,4/27/2025,Train,Booking.com,Hostel,"Schroeder, Bradford and Jones",10,9512.04,Debit Card,5,(887)504-4386x51658,German,Diet Food,21-40
6a8ac4ba-0580-4975-ad2f-89d94a2f20aa,Carolyn Foster,27,Female,American,Leisure,Chicago,5/14/2024,11/2/2024,Bus,Expedia,Hostel,Kim LLC,12,5648.51,Credit Card,1,001-744-100-5305x618,French,Diet Food,21-40
ec148cb4-8e73-4a47-aa90-a8f0d66b829e,Matthew Khan,19,Male,American,Leisure,Los Angeles,6/23/2023,10/21/2024,Car,TripAdvisor,Hotel,Gardner-Howard,2,4872.56,Online Payment,1,+1-191-770-4302x5544,English,Assistance Required,0-20
a11d459a-2f97-4d87-9999-9e3fa46d6753,Jason Richardson,72,Female,American,Leisure,Chicago,9/8/2023,9/28/2024,Car,TripAdvisor,Airbnb,Thompson-Long,7,1601.93,Debit Card,3,(881)305-6854,French,Assistance Required,61-80
81f9c1f6-6c0f-4459-b79b-17aeefba91fc,Veronica James,65,Female,American,Leisure,Chicago,3/29/2024,8/21/2024,Cruise,TripAdvisor,Airbnb,"Smith, West and Alvarez",10,6408.46,Debit Card,1,311.963.1397,French,None,61-80
3099fdf5-ab99-454a-a901-e35cd47d380d,Nancy Rose,70,Female,American,Leisure,San Francisco,2/29/2024,4/8/2025,Flight,Travelocity,Hostel,"Foster, Crane and Schmidt",1,3996.18,Credit Card,5,(838)408-1867,French,Diet Food,61-80
f9341c68-966b-4ea1-88be-ab134da98f1d,Robert Vaughn,41,Female,American,Leisure,Chicago,1/29/2024,11/13/2024,Bus,MakeMyTrip,Motel,Mcdonald Inc,7,7450.4,Online Payment,5,001-492-402-9176x5256,French,Wheelchair,41-60
f0dfb4a5-d8a0-44df-bfd6-3116e1ea24c4,Andrea Burns,31,Female,American,Business,Los Angeles,10/29/2023,5/12/2025,Cruise,Booking.com,Resort,Foster-Murray,8,9496.8,Credit Card,1,969.513.4685,English,Assistance Required,21-40
da711448-96c8-4a19-a4b2-d2bc815a47c5,Ashley Tyler,47,Male,American,Leisure,Chicago,7/19/2023,8/11/2024,Train,TripAdvisor,Airbnb,Evans-Burns,12,3417.9,Debit Card,5,(408)095-0998x1099,English,Assistance Required,41-60
aa2ca1af-6a10-4b75-a77f-6cbdcc22af58,Thomas Mack,71,Female,American,Leisure,Los Angeles,10/11/2023,5/26/2025,Flight,Expedia,Hostel,"Stanley, Wolf and Smith",6,3241.74,Online Payment,4,886.279.3733x045,Spanish,Assistance Required,61-80
e1fab9d7-8c7e-434f-9dfb-d3d12c4a3698,Diane Schultz,73,Female,American,Leisure,Orlando,4/19/2024,5/14/2025,Flight,TripAdvisor,Motel,Davis-Davis,1,8718.39,Cash,3,-6549,Spanish,Assistance Required,61-80
a9ec0806-705f-4a16-9622-bd795fec898f,Seth Zimmerman,40,Female,American,Leisure,Orlando,7/29/2023,4/23/2025,Car,Booking.com,Resort,Moyer Group,2,3791.94,Cash,2,510.014.2824x76740,Spanish,Diet Food,21-40
29e821a4-c748-43e3-9ba1-621582283d15,Jared Lyons,84,Female,American,Medical,Orlando,1/19/2024,9/23/2024,Car,Expedia,Hostel,Williams PLC,9,4470.11,Credit Card,1,001-003-845-6103x1034,French,Assistance Required,>80
5eda92d8-64ac-4db9-9707-107e855c3844,Jeffrey Clark,22,Female,American,Leisure,Orlando,6/25/2023,5/29/2025,Cruise,Booking.com,Motel,"Sullivan, Lee and Calderon",2,501.44,Cash,5,+1-259-462-6232x26433,German,None,21-40
d92a4aa2-b410-493c-8efb-c8d60b21fbac,Adam Ward,83,Male,American,Leisure,Miami,5/5/2024,5/24/2025,Car,TripAdvisor,Hotel,Malone-Parsons,3,1965.02,Online Payment,2,737-367-9850x517,Spanish,Wheelchair,>80
9403560d-97da-438d-9d64-3c25fbb230bb,Michelle Ward,75,Male,American,Business,Los Angeles,12/9/2023,10/22/2024,Bus,MakeMyTrip,Hotel,Bradford LLC,6,4209.55,Online Payment,2,892-502-6881x62558,English,None,61-80
2b28fef0-2b9c-414e-a5ac-06d864c2f2e3,Gina Torres,72,Female,American,Religious,New York,6/26/2023,10/16/2024,Cruise,Booking.com,Hostel,Campos Ltd,14,604.5,Online Payment,5,185-187-4266x7982,French,Assistance Required,61-80
eb8ac8ce-8a24-4e6b-b313-8131c541013d,Zachary Dean,28,Female,American,Leisure,Las Vegas,1/25/2024,3/5/2025,Train,Travelocity,Motel,Allen-Stanton,13,6707.85,Online Payment,5,763.414.3814x055,German,Wheelchair,21-40
678a5aa3-3b6f-4507-8c5f-e8f8dc3bf364,Robert White,43,Female,American,Business,San Francisco,5/15/2024,2/19/2025,Car,Booking.com,Hostel,Harrell PLC,11,2006.63,Online Payment,3,423.873.7739x3005,French,Diet Food,41-60
9be3cecb-8c49-4c68-a8c2-4d4244ef7feb,Stacey Thomas,20,Female,American,Business,New York,7/24/2023,9/12/2024,Flight,Expedia,Motel,Rojas Group,1,9399.15,Online Payment,1,+1-050-099-0844x67111,French,Diet Food,0-20
f463b337-d20b-4d59-9b61-0487c89da11b,Phillip Lopez,79,Female,American,Leisure,New York,9/14/2023,10/17/2024,Flight,Expedia,Motel,"Hall, Bernard and Fields",1,8621.11,Cash,5,(976)462-7273x080,Spanish,Wheelchair,61-80
c7038069-84c8-4999-a116-7d8fcf23cae8,Tyler Cooke,31,Male,American,Leisure,Orlando,7/11/2023,11/10/2024,Train,TripAdvisor,Motel,King and Sons,2,1798.95,Cash,5,(158)730-4595x674,French,Diet Food,21-40
f320cd57-6d14-475b-b49a-ae908fb5262c,Kyle Hanna,67,Female,American,Medical,Miami,2/22/2024,9/30/2024,Car,Expedia,Airbnb,"Harrison, Miller and Harris",5,8269.41,Cash,5,(179)447-8551x427,German,Diet Food,61-80
5d5f576c-deb8-4c4c-bb29-7d0b0e5e18ba,Derek Coleman,61,Male,American,Leisure,San Francisco,7/8/2023,10/27/2024,Cruise,Booking.com,Hotel,Wilson-Phillips,8,4299.47,Credit Card,1,+1-043-170-8225x234,German,None,61-80
f0e642f4-3328-4d08-8ded-3c9691eb79fa,David Sellers,55,Female,American,Leisure,Chicago,11/10/2023,1/22/2025,Train,Booking.com,Resort,Davila PLC,2,515.44,Credit Card,5,566.867.4422x143,Spanish,Assistance Required,41-60
c9546b43-9f9d-4129-8a44-9ebe89d9bf02,Mason Holloway,23,Female,American,Religious,Los Angeles,4/28/2024,3/4/2025,Train,Booking.com,Airbnb,Rodgers Group,10,2545.03,Credit Card,2,001-025-734-3066x7322,French,Diet Food,21-40
99901c04-7549-4bc3-94c5-6c9a9cc9af4e,Vicki Cox,45,Female,American,Education,Los Angeles,12/2/2023,12/15/2024,Car,Travelocity,Resort,King Ltd,11,7239.45,Credit Card,4,001-941-337-9919x76603,Spanish,Diet Food,41-60
2e47dc0e-959f-4a51-8cfe-5cd12d5db79b,Mary Sanders,19,Male,American,Medical,Orlando,3/17/2024,3/17/2025,Train,Travelocity,Hostel,Hall PLC,3,9348.42,Online Payment,2,+1-371-772-8775x13932,Spanish,Wheelchair,0-20
8d103ed3-cc66-4e97-9773-308cdc6b13ab,Grant Daniels,77,Female,American,Education,Orlando,4/5/2024,6/29/2024,Bus,MakeMyTrip,Hotel,"Thompson, Griffin and Lewis",1,6024.95,Debit Card,2,1084105888,English,None,61-80
de3a5db5-154e-4512-9209-3d26ac512b01,Stephen Dorsey,60,Female,American,Leisure,New York,10/3/2023,2/15/2025,Cruise,TripAdvisor,Hostel,Suarez Ltd,10,2894.05,Credit Card,5,361-328-2035x69472,English,Wheelchair,41-60
2f429ce5-9ff3-478f-8c1b-0c3e1c07724e,Stephen Long,76,Female,American,Education,San Francisco,5/22/2024,10/19/2024,Cruise,Booking.com,Resort,"Rodriguez, Benson and Lynch",8,4276.63,Online Payment,1,(096)627-8829x318,German,None,61-80
2adf559a-11cb-4288-8a50-12dc582c18c9,Michael Mills,59,Female,American,Education,Los Angeles,8/4/2023,7/12/2024,Flight,MakeMyTrip,Resort,"Roberts, Johnson and Newman",4,9617.03,Cash,1,101.927.7872,German,None,41-60
f3b37f32-8702-46c4-8155-d7ef28dd37eb,Dennis Williams,23,Female,American,Leisure,San Francisco,12/12/2023,9/16/2024,Flight,Expedia,Hotel,Johnson and Sons,12,5268.55,Online Payment,4,423.049.9069x263,English,Wheelchair,21-40
a5f09e63-45dd-487d-a81a-a40a2b0b8c12,Mr. Michael Walters,79,Male,American,Leisure,Las Vegas,10/3/2023,9/1/2024,Bus,Expedia,Hostel,Martinez-Hill,12,7519.18,Credit Card,1,001-473-476-2725,Spanish,Assistance Required,61-80
1d3b993f-7949-4eab-bf1a-355e526eb523,Mckenzie Sanders,22,Female,American,Medical,Los Angeles,3/9/2024,3/4/2025,Train,Booking.com,Hotel,Hensley Inc,8,8073.12,Debit Card,1,+1-028-258-6235x36797,German,Wheelchair,21-40
4227de21-3023-480c-8bd3-f5e06bc15385,Michael Williams,20,Female,American,Business,San Francisco,1/27/2024,11/22/2024,Bus,MakeMyTrip,Hotel,Diaz-Robinson,7,8869.63,Cash,5,001-696-281-2381x564,German,Diet Food,0-20
baeb41a5-e65a-4149-80e2-a20a1bd7ce73,Benjamin Caldwell,36,Female,American,Education,Orlando,7/7/2023,4/14/2025,Train,Expedia,Airbnb,Sandoval LLC,13,6508.52,Online Payment,5,164-989-8415x27523,Spanish,Wheelchair,21-40
f72f2bb8-3586-4ca7-ba0b-85188296f5ea,Wayne Smith,23,Female,American,Business,Chicago,10/31/2023,3/17/2025,Bus,Expedia,Hostel,Morales and Sons,14,2824.62,Online Payment,4,187-021-2841x63060,German,Wheelchair,21-40
f9bddea5-d129-42e4-ae80-fa489b0bca16,Eric Lopez,69,Male,American,Business,Orlando,11/30/2023,9/23/2024,Cruise,Booking.com,Motel,Hall PLC,2,3007.87,Cash,4,001-134-905-5815,Spanish,Diet Food,61-80
f5bb9188-b805-49e9-890b-20bb257e8454,Erika Anderson,82,Male,American,Business,San Francisco,7/29/2023,6/23/2024,Bus,Booking.com,Resort,"Robinson, Cole and Robinson",15,1285.94,Debit Card,4,(507)511-0941,German,None,>80
d50e0097-8b71-49cd-ad39-eb43ad9cedde,Jesus Ward,41,Male,American,Education,New York,8/13/2023,8/9/2024,Train,MakeMyTrip,Hostel,Mendoza-Wright,1,6199.2,Credit Card,5,1155412665,French,Assistance Required,41-60
a17a4340-f9c0-4fef-ba1b-1bf13879399b,Tiffany Hicks,65,Female,American,Leisure,Las Vegas,1/16/2024,1/12/2025,Train,Travelocity,Hostel,"Luna, Morgan and Grant",4,8356.36,Cash,3,001-009-538-3783x63719,English,Assistance Required,61-80
736a947a-843f-4da7-b1ee-daffcc3d5506,Alyssa Martinez,72,Male,American,Leisure,New York,3/20/2024,12/14/2024,Cruise,MakeMyTrip,Motel,"Rodriguez, Schaefer and Greene",15,1827.63,Debit Card,1,069-507-6444x23745,French,Assistance Required,61-80
202cc828-4c71-4095-bcc9-9ae80f0c8a89,Robert Stevens,48,Female,American,Leisure,Chicago,5/5/2024,7/14/2024,Flight,Expedia,Resort,Petersen-Lee,11,6335.92,Debit Card,4,896-702-9756x40104,Spanish,None,41-60
4c41d9c0-f075-44fe-aacc-110e4f73fd94,Brenda Roberts,84,Female,American,Leisure,New York,2/8/2024,9/28/2024,Car,TripAdvisor,Airbnb,"Wilson, Odonnell and Alvarado",3,6787.66,Cash,4,(490)405-8465x731,Spanish,Diet Food,>80
909ff497-6a8a-43ef-a880-4790be6c6fe9,Tiffany Lee,33,Female,American,Business,New York,10/5/2023,3/16/2025,Flight,Expedia,Airbnb,Cooper-Meyers,11,2371.73,Cash,4,523-315-2252x67879,Spanish,Assistance Required,21-40
8f8b2b83-022b-4320-a161-5022409a8a78,Hannah Marquez,18,Female,American,Education,Las Vegas,7/23/2023,7/25/2024,Cruise,Expedia,Motel,Hernandez-Ramsey,9,9023.26,Credit Card,1,001-085-704-1905x74803,Spanish,None,0-20
e69bae29-f652-4008-b7b4-000bd1c51f86,Erin Washington,81,Female,American,Medical,New York,4/27/2024,4/26/2025,Cruise,Travelocity,Resort,Oneill PLC,1,5179.32,Debit Card,5,+1-678-636-7745x62898,French,Diet Food,>80
d3f21dcc-2be8-4b46-b5fa-6dd891fde85c,Benjamin Torres,67,Female,American,Business,Los Angeles,11/2/2023,9/17/2024,Flight,MakeMyTrip,Resort,Ray LLC,7,8924.18,Cash,2,747.567.9939,German,None,61-80
1959b9ef-58d0-4674-b34d-e73d60c290d0,James Landry,67,Female,American,Business,New York,2/2/2024,12/10/2024,Car,Booking.com,Hotel,Phillips PLC,7,5532.29,Credit Card,1,708.480.6558x010,English,Assistance Required,61-80
